,FECHA,DESCRIPCION,CREDIT/DEBIT,SALDO,MONEDA
125,2025-02-17 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-123000.0,25316620.69,COP
126,2025-02-18 00:00:00,COMPRA EN  SUPERMERCA,-107275.0,25209345.69,COP
127,2025-02-20 00:00:00,ABONO INTERESES AHORROS,103.59,25209449.28,COP
128,2025-02-21 00:00:00,ABONO INTERESES AHORROS,34.36,25209483.64,COP
129,2025-02-21 00:00:00,COMPRA EN  SUPERMERCA,-120985.0,25088498.64,COP
130,2025-02-22 00:00:00,ABONO INTERESES AHORROS,33.95,25088532.59,COP
131,2025-02-22 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-300000.0,24788532.59,COP
132,2025-02-23 00:00:00,COMPRA EN  SUPERMERCA,-35650.0,24752882.59,COP
133,2025-02-23 00:00:00,COMPRA EN  SUPERMERCA,-122500.0,24630382.59,COP
134,2025-02-26 00:00:00,ABONO INTERESES AHORROS,134.96,24630517.55,COP
135,2025-02-27 00:00:00,ABONO INTERESES AHORROS,33.6,24630551.15,COP
136,2025-02-27 00:00:00,PAGO IBAL S.A. ESP,-39800.0,24590751.15,COP
137,2025-02-27 00:00:00,PAGO APP ALCANOS DE COLOMBIA,-62080.0,24528671.15,COP
138,2025-02-28 00:00:00,PAGO DE NOMI UNIV DE IBAGUE,4359644.0,28888315.15,COP
139,2025-02-28 00:00:00,ABONO INTERESES AHORROS,37.72,28888352.87,COP
140,2025-02-28 00:00:00,COMPRA EN  SUPERMERCA,-24497.0,28863855.87,COP
141,2025-02-28 00:00:00,COMPRA EN  SUPERTIEND,-34100.0,28829755.87,COP
142,2025-02-28 00:00:00,RETIRO CAJERO  MF PLAZAS DEL B,-1000000.0,27829755.87,COP
143,2025-02-28 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-143930.0,27685825.87,COP
144,2025-02-28 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-143930.0,27541895.87,COP
145,2025-03-01 00:00:00,COMPRA EN  EXITO WOW,-128931.0,27413001.52,COP
